active_time,adj_dist,count
3,1000,18768
3,2000,6206
3,3000,1771
3,4000,1662
3,5000,1491
3,6000,1356
3,7000,1278
3,8000,1198
3,9000,1123
3,10000,1071
6,1000,16505
6,2000,5451
6,3000,1576
6,4000,1485
6,5000,1322
6,6000,1201
6,7000,1127
6,8000,1061
6,9000,997
6,10000,948
9,1000,15619
9,2000,5134
9,3000,1486
9,4000,1400
9,5000,1239
9,6000,1126
9,7000,1053
9,8000,990
9,9000,933
9,10000,886
12,1000,14994
12,2000,4899
12,3000,1408
12,4000,1323
12,5000,1178
12,6000,1067
12,7000,995
12,8000,932
12,9000,879
12,10000,836
15,1000,14173
15,2000,4573
15,3000,1305
15,4000,1221
15,5000,1092
15,6000,990
15,7000,920
15,8000,858
15,9000,810
15,10000,767
18,1000,13324
18,2000,4257
18,3000,1214
18,4000,1133
18,5000,1013
18,6000,925
18,7000,860
18,8000,802
18,9000,750
18,10000,709
21,1000,12571
21,2000,3959
21,3000,1101
21,4000,1024
21,5000,914
21,6000,840
21,7000,780
21,8000,725
21,9000,675
21,10000,637
24,1000,11992
24,2000,3726
24,3000,1022
24,4000,949
24,5000,838
24,6000,768
24,7000,709
24,8000,654
24,9000,610
24,10000,576
27,1000,11801
27,2000,3646
27,3000,992
27,4000,921
27,5000,811
27,6000,745
27,7000,689
27,8000,635
27,9000,593
27,10000,555
30,1000,11716
30,2000,3601
30,3000,975
30,4000,906
30,5000,798
30,6000,734
30,7000,680
30,8000,627
30,9000,585
30,10000,545
33,1000,11632
33,2000,3569
33,3000,965
33,4000,896
33,5000,791
33,6000,728
33,7000,675
33,8000,622
33,9000,582
33,10000,543
36,1000,11559
36,2000,3540
36,3000,959
36,4000,891
36,5000,788
36,6000,726
36,7000,672
36,8000,619
36,9000,579
36,10000,540
